1;EK;AAL;AALBORG;N57061339;E009594408;;;E0010;WGE;EKDK;EKDK;;;;11670;;326;3
15;LI;ALG;ALGHERO;N40374110;E008143810;;;E0000;WGE;LIRR;LIRR;;;;11380;;000;2
16;ES;ALM;ALMA;N55244070;E013332710;;;E0025;WGE;ESAA;ESAA;;;;11640;;;2
17;EK;ALS;ALSIE;N54541949;E009593616;;;E0010;WGE;EKDK;EKDK;;;;11470;;;2
25;LF;ANG;ANGERS;N47321270;W000510660;;;W0029;WGE;LFRR;LFFF;;;;11300;;;2
31;LF;ARE;MONTS D' ARREE;N48195750;W003360890;;;W0041;WGE;LFRR;LFFF;;;;11250;;429;1
41;LF;AVN;AVIGNON;N43594330;E004444700;;;W0012;WGE;LFMM;LFFF;;;;11230;;;1
46;ED;BAM;BARMEN;N51193991;E007103707;;;W0000;WGE;EDLL;EDVV;;;;11360;;242;2
62;LP;BEJ;BEJA;N38074232;W007553608;;;W0041;WGE;LPPC;LPPC;;;;11580;;283;3
85;LF;BNE;BOULOGNE SUR MER;N50372920;E001542560;;;W0030;WGE;LFFF;LFFF;;;;11380;;;2
91;LI;BOL;BOLSENA;N42370630;E012025540;;;E0016;WGE;LIRR;LIRR;;;;11440;;498;2
96;LI;BRD;BRINDISI;N40363910;E018001030;;;E0020;WGE;LIBB;LIBB;;;;11320;;436;2
111;LF;BVS;BEAUVAIS;N49261090;E002091150;;;W0020;WGE;LFFF;LFFF;;;;11590;;;2
116;LF;CAN;CAEN;N49101800;W000272040;;;W0032;WGE;LFRR;LFFF;;;;11540;;;2
127;LI;CDC;CARAFFA;N38452113;E016220892;;;E0017;WGE;LIRR;LIRR;;;;11730;;000;2
129;LF;CDN;CHATEAUDUN;N48033230;E001231330;;;W0027;WGE;LFFF;LFFF;;;;11610;;319;2
134;EG;CFD;CRANFIELD;N52042718;W000363885;;;W0028;WGE;EGTT;EGTT;;;;11650;;;2
139;ED;CHA;CHARLIE;N49551597;E009022332;;;W0000;WGE;EDFF;EDUU;;;;11550;;;1
143;EB;CIV;CHIEVRES;N50342628;E003495836;;;W0015;WGE;EBBU;EBUR;;;;11320;;240;2
151;LF;CMB;CAMBRAI EPINOY;N50134130;E003090540;;;W0022;WGE;LFFF;LFFF;;;;11260;;295;2
155;LF;CNM;CANNES;N43333730;E006521540;;;E0000;WGE;LFMM;LFFF;;;;11140;;;2
159;ED;COL;COLA;N50470067;E007353910;;;W0000;WGE;EDLL;EDVV;;;;10880;;201;1
164;LF;CRL;CREIL;N49151900;E002305320;;;W0020;WGE;LFFF;LFFF;;;;10920;;270;2
182;LF;DGN;DIGNE;N43592900;E006060300;;;W0006;WGE;LFMM;LFFF;;;;11385;;;2
184;ED;DHE;HELGOLAND;N54110847;E007543852;;;W0011;WGE;EDWW;EDVV;;;;11630;;380;2
190;ES;DKR;DUNKER;N59122580;E017004350;;;E0035;WGE;ESAA;ESAA;;;;11680;;;2
200;LF;DPE;DIEPPE;N49553140;E001101430;;;W0028;WGE;LFFF;LFFF;;;;11580;;;2
208;LF;DVL;DEAUVILLE;N49183870;E000184580;;;W0030;WGE;LFFF;LFFF;;;;11020;;;1
216;LI;ELB;ELBA;N42435000;E010234500;;;E0006;WGE;LIRR;LIRR;;;;11470;;389;2
223;LF;EPL;EPINAL;N48190410;E006033380;;;W0010;WGE;LFEE;LFFF;;;;11300;;283;2
228;LP;ESP;ESPICHEL;N38252739;W009110881;;;W0051;WGE;LPPC;LPPC;;;;11250;;000;2
232;LF;EVX;EVREUX FAUVILLE;N49015410;E001131510;;;W0028;WGE;LFFF;LFFF;;;;11240;;323;2
237;ED;FFM;FRANKFURT MAIN;N50031347;E008381354;;;W0000;WGE;EDFF;EDUU;;;;11420;;000;2
248;LI;FOG;FOGGIA;N41254611;E015315294;;;E0019;WGE;LIBB;LIBB;;;;11420;;;2
254;LI;FRZ;FIRENZE;N44013800;E011001200;;;E0007;WGE;LIMM;LIMM;;;;11520;;223;2
260;LF;GAI;GAILLAC;N43571460;E001492700;;;W0021;WGE;LFBB;LFFF;;;;11580;;;2
266;ED;GED;GEDERN;N50244301;E009145699;;;W0002;WGE;EDFF;EDUU;;;;11080;;351;1
268;EK;GES;GEDSER;N54370304;E011555737;;;E0020;WGE;EKDK;EKDK;;;;11350;;;2
301;ED;HAM;HAMBURG;N53410807;E010121799;;;E0010;WGE;EDWW;EDVV;;;;11310;;254;2
302;ES;HAR;HARRY;N57493000;E012413680;;;E0020;WGE;ESAA;ESAA;;;;11750;;;2
304;ED;HDM;MANNHEIM;N49340000;E008275300;;;W0006;WGE;EDFF;EDUU;;;;10900;;;0
326;EH;HSD;HAAMSTEDE;N51432180;E003512945;;;W0015;WGE;EHAA;EHAA;;;;11415;;;2
366;ED;KIR;KIRN;N49510086;E007221048;;;E0000;WGE;EDFF;EDUU;;;;11750;;271;2
372;EP;KMI;KMIECIN;N54120469;E019084225;;;E0029;WGE;EPWW;EPWW;;;;11680;;;2
376;EB;KOK;KOKSY;N51054086;E002390585;;;W0021;WGE;EBBU;EBUR;;;;11450;;324;2
409;LF;LCA;LA CHATRE;N46412910;E002085850;;;W0021;WGE;LFBB;LFFF;;;;11210;;;1
410;LI;LCC;LECCE;N40145024;E018075062;;;E0018;WGE;LIBB;LIBB;;;;11280;;188;1
419;LF;LGL;L'AIGLE;N48472620;E000314900;;;W0023;WGE;LFFF;LFFF;;;;11500;;;2
426;LP;LM;LAJES;N38470216;W027061576;;;W0140;WGE;LPPO;LPPO;;;;11230;;;2
447;ED;LUB;LUEBECK;N53562667;E010400403;;;E0000;WGE;EDWW;EDVV;;;;11060;;;1
451;LF;LUL;LUXEUIL;N47411780;E006174410;;;W0009;WGE;LFEE;LFFF;;;;11710;;;2
468;LF;MBY;MOULINS;N46322880;E003295840;;;W0010;WGE;LFFF;LFFF;;;;10960;;;0
482;ED;MHV;MONCHENGLADBACH;N51141428;E006292488;;;W0000;WGE;EDLL;EDVV;;;;10980;;;1
483;ED;MIC;MICHAELSDORF;N54181966;E011001867;;;E0003;WGE;EDWW;EDVV;;;;11220;;;2
496;LF;MMD;MONTMEDY;N49232850;E005072790;;;W0014;WGE;LFFF;LFFF;;;;10940;;303;2
509;LF;MTD;MONTDIDIER;N49330950;E002292210;;;W0020;WGE;LFFF;LFFF;;;;11365;;;2
512;ED;MTR;METRO;N50163459;E008505505;;;W0000;WGE;EDFF;EDUU;;;;11000;;;1
523;LF;NEV;NEVERS;N47091080;E002554570;;;W0010;WGE;LFFF;LFFF;;;;11340;;;2
527;ED;NIE;NIENBURG;N52373321;E009221917;;;E0010;WGE;EDWW;EDVV;;;;11650;;;1
533;EK;NOA;NORA;N56062011;E012142941;;;E0020;WGE;EKDK;EKDK;;;;11260;;;2
534;ES;NOL;NOLVIK;N57462380;E011492230;;;E0015;WGE;ESAA;ESAA;;;;11320;;;2
535;ED;NOR;NOERVENICH;N50502637;E006413894;;;W0010;WGE;EDLL;EDVV;;;;11620;;255;2
537;LP;NSA;NISA;N39335283;W007545260;;;W0044;WGE;LPPC;LPPC;;;;11550;;180;1
540;ED;NTM;NATTENHEIM;N50005710;E006315444;;;E0000;WGE;EDFF;EDUU;;;;11530;;236;2
543;LH;NYR;NYIREGYHAZA;N47592800;E021413300;;;E0036;WGE;LHCC;LHCC;;;;11610;;;0
563;ED;OSN;OSNABRUCK;N52120049;E008170787;;;E0000;WGE;EDLL;EDVV;;;;11430;;;2
592;LI;PNZ;PONZA;N40544270;E012572670;;;E0007;WGE;LIRR;LIRR;;;;11460;;437;2
594;LF;POI;POITIERS;N46345160;E000175350;;;W0020;WGE;LFBB;LFFF;;;;11330;;;2
597;LF;PON;PONTOISE;N49054590;E002020920;;;W0020;WGE;LFFF;LFFF;;;;11160;;;2
612;EG;PTH;PERTH;N56263300;W003220700;;;W0049;WGE;EGPX;EGPX;;;;11040;;;2
613;LF;PTV;PITHIVIERS;N48092010;E002155320;;;W0023;WGE;LFFF;LFFF;;;;11650;;;2
623;ED;RDG;RODING;N49022497;E012313557;;;E0008;WGE;EDMM;EDUU;;;;11470;;000;2
625;LF;REM;REIMS;N49184190;E004024330;;;W0017;WGE;LFFF;LFFF;;;;11230;;272;2
629;LI;RIM;RIMINI;N44005460;E012365990;;;E0009;WGE;LIMM;LIMM;;;;11620;;213;2
635;LF;ROA;ROANNE;N46033300;E003595740;;;W0010;WGE;LFMM;LFFF;;;;10920;;;0
636;EK;ROE;RONNE;N55035608;E014453129;;;E0030;WGE;ESAA;ESAA;;;;11200;;;2
640;LF;ROU;ROUEN;N49275630;E001165020;;;W0029;WGE;LFFF;LFFF;;;;11680;;192;1
656;LF;SAU;SAUVETERRE;N44403650;W000091050;;;W0015;WGE;LFBB;LFFF;;;;11680;;;1
666;LF;SFC;SAINT FLOUR;N45035930;E002592670;;;W0019;WGE;LFBB;LFFF;;;;10980;;;0
687;EK;SKR;VOJENS/SKRYDSTRUP;N55134418;E009125061;;;E0010;WGE;EKDK;EKDK;;;;11040;;258;2
712;LP;SRA;SINTRA;N38494522;W009202445;;;W0051;WGE;LPPC;LPPC;;;;11210;;459;2
727;LG;STV;STEFANOVIKION;N39285250;E022462620;;;E0024;;LGGG;LGGG;;;;11290;;;2
730;ED;SUL;SULZ;N48225371;E008384141;;;E0000;WGE;EDFF;EDUU;;;;11610;;;2
747;LF;TAN;TARBES-LAHITTE;N43280000;W000010630;;;W0020;WGE;LFBB;LFFF;;;;11180;;;1
749;ED;TAU;TAUNUS;N50150167;E008094509;;;W0000;WGE;EDFF;EDUU;;;;11670;;000;0
751;LF;TBO;TARBES;N43195600;E000084470;;;W0020;WGE;LFBB;LFFF;;;;11390;;;2
759;ED;TGO;TANGO;N48370627;E009153315;;;E0010;WGE;EDFF;EDUU;;;;11250;;190;2
760;BG;THT;THULE;N76323200;W068142100;;;T0000;WGE;BGGL;BGGL;;;;11100;;000;2
785;LF;TRO;TROYES;N48150440;E003574730;;;W0020;WGE;LFFF;LFFF;;;;11600;;;2
787;LI;TRP;TRAPANI;N37534550;E012304750;;;E0016;WGE;LIRR;LIRR;;;;10880;;362;2
793;LF;TSU;TOUSSUS-LE-NOBLE;N48451340;E002060850;;;W0020;WGE;LFFF;LFFF;;;;10825;;;0
812;ES;VEY;VEDBY;N56085400;E013125912;;;E0020;WGE;ESAA;ESAA;;;;11690;;;1
815;LP;VFL;HORTA FAIAL;N38310990;W028372482;;;W0128;WGE;LPPO;LPPO;;;;11270;;000;2
823;LI;VIL;VILLAFRANCA;N45242850;E010542240;;;E0014;WGE;LIMM;LIMM;;;;11580;;233;1
832;LP;VMG;PONTA DELGADA;N37504556;W025452933;;;W0115;WGE;LPPO;LPPO;;;;11450;;;2
833;LF;VNE;VIENNE;N45332320;E004530030;;;W0010;WGE;LFMM;LFFF;;;;10820;;;1
859;ED;WSR;WESER;N53205157;E008523123;;;W0008;WGE;EDWW;EDVV;;;;11290;;;2
864;ED;WUR;WURZBURG;N49430311;E009564920;;;W0001;WGE;EDFF;EDUU;;;;11020;;;2
865;ED;WYP;WIPPER;N51025407;E007164799;;;E0000;WGE;EDLL;EDVV;;;;10960;;;1
